B2,Combined_Text,Framing,Priming,Repetition,Narrative/Story,Reciprocity,Commitment and Consistency,Social Proof,Scarcity,Authority,Liking,Argument Type,Hedging and Politeness,Pronoun Use,Active Tense,Concreteness,Linguistic Fluency,Linguistic Mirroring,Credibility Markers,Certainty Markers,Rhetorical Questions
20180717-200206_41_live,"Persuader: Hey, how are you doing, have you ever heard of a charity called Save the Children?
Persuadee: No I havent.
Persuadee: What is it about?
Persuader: It's an international organization that promotes children's rights, provides relief and helps support children in developing countries, does that sound like something you'd get behind?
Persuadee: No thank you.
Persuader: May I ask why?
Persuader: Your help could really make a difference in a child's life, think of a child who didn't have enough to eat, just a small bit of help may have saved them, are you sure you're not interested?
Persuadee: I am already making a difference in many children lives.
Persuader: That's great, it sounds like it's an issue you really care about then, why not put some of that effort into a charity that's doing really great work like Save the Children?
Persuadee: I have donated 15 years of my life to charity
Persuader: I'm not asking you to donate years of your life, just a couple of cents if possible, is that something you could possibly do tonight?
Persuadee: No thank you
Persuader: You're probably on a computer right now, so you probably have quite a bit of money yourself, don't you think you could spare maybe 25 cents for some needy children around the world?
Persuadee: No thank you
Persuader: Do you have children yourself?
Persuader: What if your children were in a position these kids are in, wouldn't you want someone to help them?
Persuadee: Where are those childrens parent?
Persuader: If only they had parental support, but in war-torn countries like Syria their parents are being killed in wars or are fighting for their country, they have no help and that's why they need your support, please find it in your heart to just give a little bit tonight, that's all I'm asking.
Persuadee: My small change won't do a thing for those kids.
Persuadee: What they need is to be extracted from those countries so that they can have a better life not 0.25
Persuader: Well with our current president it's not likely they're going to be brought the US, so they need any help they can get, and 25 cents might not seem like a lot, but if 10000 people donated 25 cents then the impact will be huge.
Persuader: I understand it may not seem like a lot, but it can really make a difference
Persuader: You can donate some or all of your payment from this task to Save the Children, i'd really appreciate it if you did, but I understand if you still don't want to
Persuader: What do you say?
Persuadee: If it makes you happy, go ahead and take .50
Persuader: Oh thank you so much, you have no idea how much that .50 will mean to those children, thank you very much and have a wonderful night you blessed soul.
Persuadee: No problem have a good night",Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,No,No,Yes
20180719-120436_413_live,"Persuader: Hi there
Persuadee: Hello
Persuader: Have you heard of the Save the Children charity?
Persuadee: I actually have not.
Persuadee: What do they do to help children?
Persuader: It is an international organization that helps protect and promote rights for childrens and provides for them in suffering conditions - such as lack of basic needs, like water, clothing, and food.
Persuadee: I'm glad a charity like that exists internationally.
Persuader: It's for a great cause.
Persuader: Children are the future and unfortunately too many of them don't get the quality of life that we take advantage of today.
Persuader: Sometimes we're in a better place and we have to do what we can to help their conditions a little bit.
Persuader: Even little bits can go a long way, you know?
Persuadee: it does, and charities can go further with the amount of money donated.
Persuader: Absolutely.
Persuader: I remember seeing ads on the television about it and it breaks my hear to see children so sad and suffering in conditions that they live in.
Persuader: I haven't personally witnessed experiences first hand, however, it comes down to basic human needs.
Persuadee: It's sad to think being born in the wrong conditions can have such a lifelong impact.
Persuader: Exactly.
Persuader: It's not like we really get the choice of how/when/where we are born.
Persuader: It's a matter of chance.
Persuader: It's unfair to be born into conditions like that.
Persuadee: Hopefully, more the people born more lucky can lend a hand.
Persuader: Absolutely!
Persuader: Would you like to be able to assist some of these children by donating any amount of your choosing up to $2?
Persuader: A little bit can go a long way!
Persuadee: Yes, absolutely.
Persuadee: I can donate $0.50.
Persuader: The charity will greatly appreciate your contribution I'm sure!
Persuader: Are you absolutely sure you'd like to donate $0.50?
Persuadee: Yes, I am sure.
Persuader: Okay, the charity will greatly benefit from your help!
Persuader: If you'd like to donate a few more cents, that would help even more children get out of poverty and live a much more clearer life.
Persuadee: I understand.
Persuadee: Unfortunately, I have to take care of my kids, too, and can't afford to help more.
Persuader: I absolutely understand.
Persuader: Thank you for taking the time to help assist the charity and I hope that you have a wonderful day!
Persuadee: I hope you do as well!",Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,Yes,Yes
20180719-122534_38_live,"Persuader: It would be really helpful if you donated to Save the Children fund!
Persuadee: What does the money go towards if I donate?
Persuader: When crisis strikes and children are most vulnerable, we are always among the first to respond and the last to leave.
Persuader: We ensure children's unique needs are met and their voices are heard.
Persuader: We deliver lasting results for millions of children, including those hardest to reach.
Persuader: We do whatever it takes for children ??Â¸??Â¸ transforming their lives and the future we share ??Â¸??Â¸ because we believe every child deserves a future.
Persuadee: Where in the world are the children located?
Persuader: US and global, wherever children need help, they are there.
Persuadee: If I donate $25, does that go a long way?
Persuader: Absolutely, a small amount of money for us turns out to be life changing for those in need.
Persuader: A dollar can buy a lot!
Persuadee: Will it help towards education?
Persuader: Yes, it is one of the core programs.
Persuader: It leads children out of poverty so is a large focus.
Persuadee: Do you accept monthly donations of smaller amounts?
Persuader: You can do a one time donation or a monthly subscription.
Persuadee: What are the amounts for monthly subscriptions?
Persuader: between 5 - 100
Persuadee: Do I get updates on a specific child if I donate monthly?
Persuader: Yes you can sponsor a child and receive specific information about what your money is doing and how they are progressing each month.
Persuadee: To what age are children receiving help?
Persuader: From infants to young adults all children are helped.
Persuadee: I would like to donate $5 monthly.
Persuader: Thank you, that is wonderful and you will help a tremendous amount!
Persuadee: Am I able to communicate with the child?
Persuader: Yes you can write them letters and they can write you back, thanks!
Persuadee: Great, thank you very much",Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,No,Yes,No
20180719-165941_192_live,"Persuader: Hello
Persuadee: Yea, hello.
Persuadee: Glad you took your time.
Persuader: I'd like to speak to you about Save the Children.
Persuader: Do you have any kids?
Persuadee: No, I do not have kids.
Persuadee: What is Save the Children about?
Persuader: Save the Children is an international non-governemnt organization.
Persuader: Their goal is to promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: That sounds really cool.
Persuadee: What specific countries do they help out?
Persuader: They help out many third world countries from all over the world.
Persuadee: Okay.
Persuadee: I guess I would look them up sometime to find out more.
Persuader: How do you feel about those who were unluckily born to poor circumstances?
Persuadee: I feel like it's a shame and I wish we could do more.
Persuadee: How can I help?
Persuader: You sound like a really kind person.
Persuader: Would you like to make a donation to Save the Children.
Persuader: Anything will help.
Persuadee: Thank you, I would like to make a 50 dollar donation but first.
Persuadee: Is there a website for this charity?
Persuader: Thank you!
Persuader: That will make a difference in many of their lives.
Persuader: Yes.
Persuader: There is. Url
Persuadee: IT looks really good and professional.
Persuadee: I am definitely going to donate.
Persuader: Thank you.
Persuader: It will be appreciated it.
Persuadee: Is there any other information you can share with me that I shuld know about?
Persuader: Absolutely.
Persuader: Recently, we will have been involved in the US-Mexico border crisis involved with separating children from their parents at the border.
Persuadee: That sounds awesome.
Persuadee: I wish you all luck in that.
Persuader: Thank you.
Persuader: It will be difficult, but we are focused in reuniting the children with their family.
Persuader: The separation should never have happened.
Persuadee: I definitely agree with that.
Persuadee: It takes a lot to fix this country already so your effort is definitely astounding.",Yes,No,No,Yes,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,No,Yes,Yes
20180719-175233_833_live,"Persuader: Hey there
Persuadee: Hey how's it going?
Persuadee: So children's charity then...
Persuader: Yep.
Persuader: Do you happen to be a parent?
Persuadee: No, not currently.
Persuadee: Although obviously I think those charities are important and relevant even to me
Persuader: How are they relevant to you?
Persuader: I would like to find out, so I can tailor the information to you.
Persuadee: I have a lot of nieces and nephews and have worked with children in the past so I have a good amount of experience with them, from all shapes and sizes
Persuader: Have you ever worked with children with were born to poorer families?
Persuadee: Yes I have.
Persuadee: I dealt with that more when I was working.
Persuadee: It was a poorer sector of the city so we saw a lot of poorer families
Persuader: You sound like someone who would really appreciate what Save the Children does.
Persuadee: Yeah?
Persuadee: I would think so?
Persuadee: I feel like I\'ve heard of it, but don\'t know a lot about it.
Persuadee: But I""m always willing to help!
Persuader: We definitely need more people like you in the world.
Persuadee: Thanks, I don't consider myself that great, but any little difference i can make makes me feel good about myself
Persuader: Every little thing does make a difference.
Persuader: Have you heard of the separation of kids from their parents at the Mexico-US border lately?
Persuadee: Yeah I have, what an awful situation that is.
Persuadee: I've seen videos that were so heartbreaking
Persuader: Yea.
Persuader: We are actually involved in that as well and helping to reunite the kids with their families.
Persuadee: Oh really?
Persuadee: Nice!
Persuadee: What can we do to help?
Persuader: Would you like to help by donating?
Persuadee: Sure, what amount is a smaller pledge?
Persuader: Even a couple of cents.
Persuader: Whatever you can afford.
Persuadee: Yeah, I can do that.
Persuadee: A dollar?",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,No,Yes,Yes
20180719-181845_211_live,"Persuader: Hello!
Persuader: How're you doing today?
Persuadee: Hey, kind of tired but overall good.
Persuadee: How are you?
Persuader: I'm doing alright.
Persuader: I just had a thought on my mind that I wanted to ask you about
Persuadee: Yea?
Persuadee: Go for it.
Persuader: Do you donate when you get the chance?
Persuader: I was thinking about how everywhere you go, they ask you to donate .50 here and your change there.
Persuader: I think I need to actually start donating.
Persuader: How does it make you feel?
Persuader: Do you donate?
Persuadee: I don't like to donate to for profit businesses.
Persuadee: I feel like they'll just take my donation and get their tax credit.
Persuader: How do you feel about Save the Children?
Persuader: My nephew had to get taken into the hospital not too long ago and I just got the letter in the mail saying they used Save the Childrens donation money to help him.
Persuader: I'm thinking about donating to them.
Persuadee: I'm sorry to hear about your nephew?
Persuadee: What happened, if you don't mind me asking.
Persuader: We found out the hard way that he has actual celiacs (sorry I can't spell too well) and he has an allergic reaction to the cake on his birthday.
Persuader: He went through a TON of testing and that's how they caught it.
Persuader: He has to stay overnight at the hospital for a few weeks and his parents just couldn't afford it.
Persuader: That's when Save the Children came around to help
Persuadee: Oh my gosh.
Persuadee: I am so sorry to hear about the little guy and how his birthday, too.
Persuadee: How did Save the Children help?
Persuader: They helped cover the bills for it since he's in Africa.
Persuader: He's doing much better now though!
Persuadee: Oh wow.
Persuadee: All the way in Africa.
Persuadee: I'm really glad to hear that.
Persuadee: You must be so releived.
Persuader: I am!
Persuader: I'm thinking about donating to them would you be willing to help?
Persuadee: Sure thing.
Persuadee: What are the amounts I can pick from?
Persuader: You can choose any amount from 0 to all of you payment
Persuadee: I'll do $20.
Persuader: Oh man, I can't believe it!
Persuader: Thank you so much!
Persuader: Sadly, this task will only let you donate the whole 2 dollars.
Persuader: If you wanna donate more you can donate through the website!
Persuader: I'm looking at donating 20 tonight too
Persuadee: Oh I didn't know that.
Persuadee: Thank you for letting me know.
Persuader: Yeah, I'm just so glad that I know they really help.
Persuader: How much do you like to donate to the charity now?
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from $0 to all your payment.
Persuadee: I'll still do $20 and go through the site.
Persuader: Do you want to also donate the 2 dollars from this task?",Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,Yes,Yes
20180719-182453_233_live,"Persuader: Hello!
Persuadee: Hey
Persuader: So, are you interested in charities that help save the children?
Persuadee: Which children?
Persuader: What does the charity do exactly?
Persuader: Instead of the typical charities that help children in a far away land, we here use state of the art location technology to help children in need right in your own community so you can see your money at work personally
Persuadee: What would my money do exactly
Persuader: It would go to the three most important things that a child need.
Persuader: Food, shelter, and education.
Persuader: The majority of your donation would go towards education as that is often the most difficult to provide for the children
Persuadee: How would I know that the money is actually being used to help children and not just pocketed by the people that run the c harity
Persuader: We are completely transparent with our records, when you donate you will be given an account so you can track where every bit of your money goes, from your account all the way to the community.
Persuadee: Okay, that sounds reasonable
Persuader: We appreciate your willingness to donate to this local cause, how much of a gratuity will you be offering today?
Persuadee: I'll donate $10
Persuader: Perfect, we will be sending over an email to setup your account info so you can track it and make any future donations if you desire.
Persuader: Thank you and have a nice day
Persuadee: Good luck with your charity
Persuader: Need a couple more chat turns
Persuadee: Yeah lol
Persuader: And another :D
Persuadee: I have to make it more than 3 words
Persuader: This should be the last one, adios o7
Persuadee: Yeah hopefully",Yes,No,No,No,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
20180719-202443_897_live,"Persuader: Hey, how's it going tonight?
Persuadee: Very Well, How about you?
Persuader: Ok, here too.
Persuader: I'd like to talk to you about children who are less fortunate.
Persuader: Do you have a moment?
Persuadee: Yes, please go ahead and tell me
Persuader: How do you feel about people who just born unlucky?
Persuadee: I feel sorry for them and would like to help them as much as possible
Persuader: I see I got a really kind person to talk to.
Persuader: That's great.
Persuadee: Go ahead and tell me how can I help
Persuader: I'm glad you're so welling to help, but I would feel bad just to get your help without letting you know what the organization is about.
Persuadee: Sure, please tell me about the organization
Persuader: It's an organization called Save the Children.
Persuader: Have you heard of them?
Persuadee: I think I have
Persuader: They are an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: that is very good to know
Persuader: Yes.
Persuader: Just recently, not sure if you've heard of it, they are working on reuniting children who were separated from their parents at the Mexico-US border.
Persuadee: Thats such a noble thing they are doing
Persuader: They are very noble.
Persuader: They're helping kids worldwise but also very close to home.
Persuader: Would you like to help by donating?
Persuadee: Sure, I would like to help.
Persuadee: How much is the average donation
Persuader: They get anything from $0.50 to $2 from mturk workers.
Persuadee: I would like to to donate $1.00 as a mturk worker",Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,No,Yes
20180719-204358_391_live,"Persuader: Hey there, glad we can talk tonight.
Persuadee: Hello, same!
Persuader: I'd like to talk to you about something that's very dear to me.
Persuader: Do you have a moment?
Persuadee: Yeah, totally.
Persuadee: Go ahead
Persuader: What was it like for you growing up?
Persuader: Were your basic needs met like food, place to live, water, etc?
Persuadee: Well, I grew up in a wealthy house.
Persuadee: My mother and father both have a PhD so their jobs made possible for us to be able to cover all that and so much more
Persuader: You are very lucky.
Persuader: I wish all kids could have that kind of opportunity.
Persuadee: So do I, I feel kind of guilty to being able to have all that and they are kids out there who don't have not a single one of all of those basic things
Persuader: No need to feel guilty.
Persuader: People don't have a choice of who or where they are born to.
Persuader: Those of us who got lucky, can always lend a hand in our own ways.
Persuader: What do you think?
Persuadee: I totally agree, I think if you can, you should help others in need
Persuader: I'd like to tell you about an organization called Save the Children.
Persuader: Have you heard about them?
Persuadee: Not really, please tell me anything!
Persuader: They are an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: Oh, that's totally awesome!
Persuadee: Do you donate to this organization?
Persuader: I do actually, because they're the reason my parents were able to come to America.
Persuadee: Oh wow, that's really heart moving, it's sounds like a lovely organization
Persuader: They are and I'd like to try getting more people to be aware of them and maybe help.
Persuader: Would you be interested?
Persuadee: Yeah, totally!
Persuadee: I already help an organization but would be glad to help another one too.
Persuader: I'm so happy to hear that!
Persuader: How much do you like to donate to the charity now?
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from $0 to all your payment.
Persuadee: Maybe 0.50?
Persuadee: I'm sorry that it seems so little, but as I already donate to an organization and I use the payments here to save for a vacation coming up...",Yes,No,No,No,Yes,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,No,Yes
20180719-210146_172_live,"Persuader: Hello.
Persuader: How are you?
Persuadee: I'm good, how are you doing?
Persuader: Very well.
Persuader: I'm just up organizing info for my charity.
Persuader: Are you involved with charities?
Persuadee: Yes!
Persuadee: I work with children who have terminal illnesses.
Persuadee: What charity are you involved in?
Persuader: That's great!
Persuader: I help with Save The Children.
Persuadee: Amazing!
Persuadee: Working with kids is the best.
Persuadee: What do you do for Save the Children?
Persuader: I help raise donations and volunteer time.
Persuadee: That's so important.
Persuadee: How do you raise donations?
Persuader: By directly asking for aid.
Persuader: Do you currently donate to your charity?
Persuadee: Yes I do, but I'm happy to donate to yours as well!
Persuader: Wonderful!
Persuader: Would you be will to donate $1.00 of your task money to help Save the Children?
Persuader: Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: Yes, I would be happy to!
Persuader: Would $2.00 be too much to ask?
Persuadee: No, I can do it.
Persuader: Thank you.
Persuader: Can we make it $1.50?
Persuader: These children really need the assistance.
Persuadee: $1.50 sounds good then.
Persuader: Why not $1.75 then? :-)
Persuadee: I can do $2.00!
Persuadee: Happy to help.
Persuader: Thank you so much!
Persuader: Do you have any more questions for me?
Persuadee: Nope.
Persuadee: Thank you!",Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,No,Yes,Yes
